date,rate of arrest
pre,2019-10-23,0.1917024320457797
pre,2019-10-24,0.24369747899159663
pre,2019-10-25,0.20026702269692923
pre,2019-10-26,0.1881720430107527
pre,2019-10-27,0.18972895863052783
pre,2019-10-28,0.1778115501519757
pre,2019-10-29,0.2302839116719243
pre,2019-10-30,0.20103986135181975
pre,2019-10-31,0.19420783645655879
pre,2019-11-01,0.19207683073229292
pre,2019-11-02,0.18099547511312217
pre,2019-11-03,0.23570432357043236
pre,2019-11-04,0.18059701492537314
pre,2019-11-05,0.2192429022082019
pre,2019-11-06,0.2027231467473525
pre,2019-11-07,0.22692889561270801
pre,2019-11-08,0.22058823529411764
pre,2019-11-09,0.2016925246826516
pre,2019-11-10,0.22887864823348694
pre,2019-11-11,0.24543610547667344
pre,2019-11-12,0.20994475138121546
pre,2019-11-13,0.21837088388214904
pre,2019-11-14,0.22107081174438686
pre,2019-11-15,0.21115537848605578
pre,2019-11-16,0.2280966767371601
pre,2019-11-17,0.2211126961483595
pre,2019-11-18,0.20967741935483872
pre,2019-11-19,0.16053019145802652
pre,2019-11-20,0.20220082530949107
pre,2019-11-21,0.20241691842900303
pre,2019-11-22,0.24793388429752067
pre,2019-11-23,0.21683309557774608
pre,2019-11-24,0.25251076040172166
pre,2019-11-25,0.20029027576197386
pre,2019-11-26,0.22566371681415928
pre,2019-11-27,0.19339622641509435
pre,2019-11-28,0.17425742574257425
pre,2019-11-29,0.23374613003095976
pre,2019-11-30,0.23076923076923078
pre,2019-12-01,0.19662921348314608
pre,2019-12-02,0.2033898305084746
pre,2019-12-03,0.204644412191582
pre,2019-12-04,0.20536912751677852
pre,2019-12-05,0.17453505007153075
pre,2019-12-06,0.18503401360544217
pre,2019-12-07,0.2342857142857143
pre,2019-12-08,0.2227204783258595
pre,2019-12-09,0.1971631205673759
pre,2019-12-10,0.18518518518518517
pre,2019-12-11,0.19402985074626866
pre,2019-12-12,0.19389312977099238
pre,2019-12-13,0.1726027397260274
pre,2019-12-14,0.18235294117647058
pre,2019-12-15,0.2366412213740458
pre,2019-12-16,0.21348314606741572
pre,2019-12-17,0.18113772455089822
pre,2019-12-18,0.2147239263803681
pre,2019-12-19,0.17372262773722627
pre,2019-12-20,0.19220055710306408
pre,2019-12-21,0.18977119784656796
pre,2019-12-22,0.23269513991163476
pre,2019-12-23,0.17903930131004367
pre,2019-12-24,0.18035426731078905
pre,2019-12-25,0.15851272015655576
pre,2019-12-26,0.22861842105263158
pre,2019-12-27,0.22786647314949202
pre,2019-12-28,0.21786833855799373
pre,2019-12-29,0.22318840579710145
pre,2019-12-30,0.20650406504065041
pre,2019-12-31,0.21284403669724772
treatment,2020-01-01,0.21120186697782964
treatment,2020-01-02,0.20537124802527645
treatment,2020-01-03,0.2398843930635838
treatment,2020-01-04,0.25908372827804105
treatment,2020-01-05,0.2318840579710145
treatment,2020-01-06,0.2199710564399421
treatment,2020-01-07,0.22756410256410256
treatment,2020-01-08,0.2062015503875969
treatment,2020-01-09,0.17647058823529413
treatment,2020-01-10,0.22061191626409019
treatment,2020-01-11,0.24285714285714285
treatment,2020-01-12,0.23693379790940766
treatment,2020-01-13,0.19135802469135801
treatment,2020-01-14,0.21818181818181817
treatment,2020-01-15,0.2230769230769231
treatment,2020-01-16,0.21726190476190477
treatment,2020-01-17,0.2117039586919105
treatment,2020-01-18,0.22281639928698752
treatment,2020-01-19,0.2714570858283433
treatment,2020-01-20,0.2560777957860616
treatment,2020-01-21,0.22984562607204118
treatment,2020-01-22,0.2213375796178344
treatment,2020-01-23,0.24534686971235195
treatment,2020-01-24,0.2161339421613394
treatment,2020-01-25,0.27450980392156865
treatment,2020-01-26,0.2462809917355372
treatment,2020-01-27,0.2132564841498559
treatment,2020-01-28,0.2448377581120944
treatment,2020-01-29,0.233387358184765
treatment,2020-01-30,0.23289902280130292
treatment,2020-01-31,0.22695035460992907
treatment,2020-02-01,0.21473951715374842
treatment,2020-02-02,0.2276176024279211
treatment,2020-02-03,0.21592442645074225
treatment,2020-02-04,0.2735703245749614
treatment,2020-02-05,0.2329635499207607
treatment,2020-02-06,0.24863883847549909
treatment,2020-02-07,0.24277456647398843
treatment,2020-02-08,0.2403846153846154
treatment,2020-02-09,0.22638146167557932
treatment,2020-02-10,0.22647527910685805
treatment,2020-02-11,0.24126984126984127
treatment,2020-02-12,0.1926751592356688
treatment,2020-02-13,0.22977941176470587
treatment,2020-02-14,0.19210977701543738
treatment,2020-02-15,0.21283783783783783
treatment,2020-02-16,0.23624595469255663
treatment,2020-02-17,0.25585284280936454
treatment,2020-02-18,0.18664643399089528
treatment,2020-02-19,0.21934369602763384
treatment,2020-02-20,0.22948073701842547
treatment,2020-02-21,0.22018348623853212
treatment,2020-02-22,0.2316715542521994
treatment,2020-02-23,0.2207001522070015
treatment,2020-02-24,0.209106239460371
treatment,2020-02-25,0.23196881091617932
treatment,2020-02-26,0.25
treatment,2020-02-27,0.2513274336283186
treatment,2020-02-28,0.21559633027522937
treatment,2020-02-29,0.26916524701873934
treatment,2020-03-01,0.22617354196301565
treatment,2020-03-02,0.21212121212121213
treatment,2020-03-03,0.21019108280254778
treatment,2020-03-04,0.21129032258064517
treatment,2020-03-05,0.22945205479452055
treatment,2020-03-06,0.22475106685633
treatment,2020-03-07,0.22602739726027396
treatment,2020-03-08,0.2220472440944882
treatment,2020-03-09,0.20458553791887124
treatment,2020-03-10,0.23707664884135474
treatment,2020-03-11,0.20854700854700856
treatment,2020-03-12,0.2176
treatment,2020-03-13,0.2077727952167414
treatment,2020-03-14,0.24552845528455283
treatment,2020-03-15,0.20962199312714777
treatment,2020-03-16,0.20229007633587787
treatment,2020-03-17,0.22338568935427575
treatment,2020-03-18,0.16412213740458015
treatment,2020-03-19,0.1592356687898089
treatment,2020-03-20,0.10860655737704918
treatment,2020-03-21,0.11389521640091116
treatment,2020-03-22,0.1196808510638298
treatment,2020-03-23,0.1326530612244898
treatment,2020-03-24,0.15165876777251186
treatment,2020-03-25,0.12356979405034325
treatment,2020-03-26,0.1357142857142857
treatment,2020-03-27,0.11163895486935867
treatment,2020-03-28,0.11538461538461539
treatment,2020-03-29,0.11670020120724346
treatment,2020-03-30,0.11963882618510158
treatment,2020-03-31,0.10594315245478036
treatment,2020-04-01,0.064
treatment,2020-04-02,0.11466666666666667
treatment,2020-04-03,0.07707509881422925
treatment,2020-04-04,0.09339407744874716
treatment,2020-04-05,0.0962962962962963
treatment,2020-04-06,0.10022271714922049
treatment,2020-04-07,0.11428571428571428
treatment,2020-04-08,0.11312217194570136
treatment,2020-04-09,0.12085308056872038
treatment,2020-04-10,0.13033175355450238
treatment,2020-04-11,0.12359550561797752
treatment,2020-04-12,0.11780104712041885
treatment,2020-04-13,0.116751269035533
treatment,2020-04-14,0.11049723756906077
treatment,2020-04-15,0.10918114143920596
treatment,2020-04-16,0.13647642679900746
treatment,2020-04-17,0.11320754716981132
treatment,2020-04-18,0.11013215859030837
treatment,2020-04-19,0.10588235294117647
treatment,2020-04-20,0.1425661914460285
treatment,2020-04-21,0.11031175059952038
treatment,2020-04-22,0.10093896713615023
treatment,2020-04-23,0.12300683371298406
treatment,2020-04-24,0.12183908045977011
treatment,2020-04-25,0.12846347607052896
treatment,2020-04-26,0.13270142180094788
treatment,2020-04-27,0.09595959595959595
treatment,2020-04-28,0.08874458874458875
treatment,2020-04-29,0.10688836104513064
treatment,2020-04-30,0.12470588235294118
post,2020-05-01,0.0931098696461825
post,2020-05-02,0.130879345603272
post,2020-05-03,0.12962962962962962
post,2020-05-04,0.11899313501144165
post,2020-05-05,0.14219114219114218
post,2020-05-06,0.11403508771929824
